Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,5,0,0
1/28/20,5,0,0
1/29/20,5,0,0
1/30/20,5,0,0
1/31/20,7,0,0
2/1/20,8,0,0
2/2/20,8,0,0
2/3/20,11,0,0
2/4/20,11,0,0
2/5/20,11,0,0
2/6/20,11,0,0
2/7/20,11,0,0
2/8/20,11,0,0
2/9/20,11,0,3
2/10/20,11,0,3
2/11/20,12,0,3
2/12/20,12,0,3
2/13/20,13,0,3
2/14/20,13,0,3
2/15/20,13,0,3
2/16/20,13,0,3
2/17/20,13,0,3
2/18/20,13,0,3
2/19/20,13,0,3
2/20/20,13,0,3
2/21/20,15,0,5
2/22/20,15,0,5
2/23/20,15,0,5
2/24/20,51,0,5
2/25/20,51,0,6
2/26/20,57,0,6
2/27/20,58,0,6
2/28/20,60,0,7
2/29/20,68,1,7
3/1/20,74,1,7
3/2/20,98,6,7
3/3/20,118,7,7
3/4/20,149,11,7
3/5/20,219,12,7
3/6/20,267,14,7
3/7/20,403,17,7
3/8/20,519,21,7
3/9/20,588,22,7
3/10/20,962,28,8
3/11/20,1285,36,8
3/12/20,1667,42,12
3/13/20,2181,50,12
3/14/20,2729,60,12
3/15/20,3536,74,12
3/16/20,4661,100,17
3/17/20,6437,134,17
3/18/20,7781,165,105
3/19/20,13748,259,121
3/20/20,19274,350,147
3/21/20,25600,442,176
3/22/20,33280,587,178
3/23/20,43862,786,178
3/24/20,53925,1011,348
3/25/20,65844,1320,361
3/26/20,83836,1726,681
3/27/20,101962,2269,869
3/28/20,121786,2744,1072
3/29/20,140910,3420,2665
3/30/20,162147,4196,5644
3/31/20,188172,5367,7024
4/1/20,213602,6511,8474
4/2/20,244008,7938,9001
4/3/20,275798,9260,9707
4/4/20,309027,10870,14652
4/5/20,336802,12375,17448
4/6/20,366317,13894,19581
4/7/20,397121,16191,21763
4/8/20,428654,18270,23559
4/9/20,463327,20288,25410
4/10/20,496846,22357,28790
4/11/20,526776,24366,31270
4/12/20,555313,26086,32988
4/13/20,580624,27870,43482
4/14/20,607670,30262,47763
4/15/20,636674,32760,52096
4/16/20,667981,34844,54703
4/17/20,700062,37428,58545
4/18/20,732590,39775,64840
4/19/20,758809,40945,70337
4/20/20,784708,42686,72329
4/21/20,811865,45086,75204
4/22/20,840351,47412,77366
4/23/20,869170,49724,80203
4/24/20,905358,51493,99079
4/25/20,938154,53755,100372
4/26/20,965785,54881,106988
4/27/20,988197,56219,111424
4/28/20,1012582,58355,115936
4/29/20,1039909,60967,120720
4/30/20,1069424,62996,153947
5/1/20,1103461,64943,164015
5/2/20,1132539,66369,175382
5/3/20,1158040,67682,180152
5/4/20,1180375,68922,187180
5/5/20,1204351,71064,189791
5/6/20,1229331,73455,189910
5/7/20,1257023,75662,195036
5/8/20,1283929,77180,198993
5/9/20,1309550,78795,212534
5/10/20,1329260,79526,216169
5/11/20,1347881,80682,232733
5/12/20,1369376,82356,230287
5/13/20,1390406,84119,243430
5/14/20,1417774,85898,246414
5/15/20,1442824,87530,250747
5/16/20,1467820,88754,268376
5/17/20,1486757,89562,272265
5/18/20,1508308,90347,283178
5/19/20,1528568,91921,289392
5/20/20,1551853,93439,294312
5/21/20,1577147,94702,298418
5/22/20,1600937,95978,350135
5/23/20,1622612,97086,361239
5/24/20,1643246,97719,366736
5/25/20,1662302,98219,379157
5/26/20,1680913,98912,384902
5/27/20,1699176,100417,391508
5/28/20,1721753,101616,399991
5/29/20,1746019,102809,406446
5/30/20,1770165,103776,416461
5/31/20,1790172,104381,444758
6/1/20,1811020,105149,458231
6/2/20,1831821,106180,463868
6/3/20,1851520,107175,479258
6/4/20,1872660,108211,485002
6/5/20,1897380,109132,491706
6/6/20,1920061,109802,500849